waveform_id,exam_id,waveform_type,number_of_leads,Waveform_Start_Time,Sample_Type,Sample_Base,Sample_Exponent,High_Pass_Filter,Low_Pass_Filter,AC_Filter
1095618,549871,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1097350,548759,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1098641,548759,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1099412,549871,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100359,551485,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1101244,551485,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1102405,550602,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1102542,550602,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103551,553528,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1104161,552856,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1104489,553115,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1105827,552856,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1105983,552077,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1106212,552983,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1106447,552983,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1106535,553115,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1106590,552077,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1107189,553528,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1109067,554080,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1109076,554080,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
