waveform_id,exam_id,waveform_type,number_of_leads,Waveform_Start_Time,Sample_Type,Sample_Base,Sample_Exponent,High_Pass_Filter,Low_Pass_Filter,AC_Filter
1095618,549871,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1099412,549871,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1099622,551407,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1099856,551243,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100151,550307,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100415,551862,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100649,551344,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100768,551862,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100816,551560,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100863,551560,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1101048,551344,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1101676,550391,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1101908,551996,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1102075,551761,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1102158,550391,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1102213,551996,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1103074,551243,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103172,550307,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103261,551761,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103384,551407,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1104489,553115,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1104650,553064,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1105299,552829,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1105357,553064,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
